Functional appropriateness,Resource utilization,Capacity,Interoperability,User error protection,Fault tolerance,Confidentiality,Integrity,Modularity ,Reusability ,Analysability ,Testability ,Adaptability ,Installability 
8,8,8,7,5,5,5,7,2,4,7,8,5,7
7,7,10,7,10,5,10,7,2,5,5,6,6,7
7,7,7,7,5,5,7,7,5,5,7,5,6,10
10,7,7,10,7,7,10,7,3,3,7,6,5,7
5,5,3,3,0,0,0,0,3,5,8,7,6,8
10,8,8,7,8,8,10,10,3,6,7,8,5,7
7,8,7,6,3,3,0,0,3,7,5,5,6,10
10,10,10,10,8,10,10,7,5,3,7,7,6,8
8,8,8,7,8,10,10,6,3,5,8,6,5,10
10,7,7,7,8,10,10,7,2,3,6,7,5,7
